__main__ 2024-06-21 15:52:28,988 INFO products added to main list
__main__ 2024-06-21 15:52:29,100 INFO products added to main list
__main__ 2024-06-21 15:52:29,225 INFO products added to main list
__main__ 2024-06-21 15:52:29,377 INFO products added to main list
__main__ 2024-06-21 15:52:29,541 INFO products added to main list
__main__ 2024-06-21 15:52:29,679 INFO products added to main list
__main__ 2024-06-21 15:52:29,787 INFO products added to main list
__main__ 2024-06-21 15:52:29,879 INFO products added to main list
__main__ 2024-06-21 15:52:29,972 INFO products added to main list
__main__ 2024-06-21 15:52:30,065 INFO products added to main list
__main__ 2024-06-21 15:52:30,157 INFO products added to main list
__main__ 2024-06-21 15:52:30,267 INFO products added to main list
__main__ 2024-06-21 15:52:30,362 INFO products added to main list
__main__ 2024-06-21 15:52:30,454 INFO products added to main list
__main__ 2024-06-21 15:52:30,552 INFO products added to main list
__main__ 2024-06-21 15:52:30,657 INFO products added to main list
__main__ 2024-06-21 15:52:30,756 INFO products added to main list
__main__ 2024-06-21 15:52:30,850 INFO products added to main list
__main__ 2024-06-21 15:52:30,959 INFO products added to main list
__main__ 2024-06-21 15:52:31,068 INFO products added to main list
__main__ 2024-06-21 15:52:31,165 INFO products added to main list
__main__ 2024-06-21 15:52:31,274 INFO products added to main list
__main__ 2024-06-21 15:52:31,370 INFO products added to main list
__main__ 2024-06-21 15:52:31,462 INFO products added to main list
__main__ 2024-06-21 15:52:31,556 INFO products added to main list
__main__ 2024-06-21 15:52:31,658 INFO products added to main list
__main__ 2024-06-21 15:52:31,758 INFO products added to main list
__main__ 2024-06-21 15:52:31,864 INFO products added to main list
__main__ 2024-06-21 15:52:31,957 INFO products added to main list
__main__ 2024-06-21 15:52:32,051 INFO products added to main list
__main__ 2024-06-21 15:52:32,143 INFO products added to main list
__main__ 2024-06-21 15:52:32,248 INFO products added to main list
__main__ 2024-06-21 15:52:32,340 INFO products added to main list
__main__ 2024-06-21 15:52:32,435 INFO products added to main list
__main__ 2024-06-21 15:52:32,527 INFO products added to main list
__main__ 2024-06-21 15:52:32,626 INFO products added to main list
__main__ 2024-06-21 15:52:32,729 INFO products added to main list
__main__ 2024-06-21 15:52:32,821 INFO products added to main list
__main__ 2024-06-21 15:52:32,915 INFO products added to main list
__main__ 2024-06-21 15:52:33,008 INFO products added to main list
__main__ 2024-06-21 15:52:33,107 INFO products added to main list
__main__ 2024-06-21 15:52:33,226 INFO products added to main list
__main__ 2024-06-21 15:52:33,352 INFO products added to main list
__main__ 2024-06-21 15:52:33,446 INFO products added to main list
__main__ 2024-06-21 15:52:33,579 DEBUG press next page
__main__ 2024-06-21 15:52:43,545 DEBUG find category
__main__ 2024-06-21 15:52:43,578 DEBUG find products cards
__main__ 2024-06-21 15:52:43,837 INFO products added to main list
__main__ 2024-06-21 15:52:43,978 INFO products added to main list
__main__ 2024-06-21 15:52:44,086 INFO products added to main list
__main__ 2024-06-21 15:52:44,192 INFO products added to main list
__main__ 2024-06-21 15:52:44,310 INFO products added to main list
__main__ 2024-06-21 15:52:44,469 INFO products added to main list
__main__ 2024-06-21 15:52:44,639 INFO products added to main list
__main__ 2024-06-21 15:52:44,760 INFO products added to main list
__main__ 2024-06-21 15:52:44,891 INFO products added to main list
__main__ 2024-06-21 15:52:44,997 INFO products added to main list
__main__ 2024-06-21 15:53:05,051 DEBUG find products cards
__main__ 2024-06-21 15:53:05,158 INFO products added to main list
__main__ 2024-06-21 15:53:05,268 INFO products added to main list
__main__ 2024-06-21 15:53:05,365 INFO products added to main list
__main__ 2024-06-21 15:53:05,458 INFO products added to main list
__main__ 2024-06-21 15:53:05,550 INFO products added to main list
__main__ 2024-06-21 15:53:05,651 INFO products added to main list
__main__ 2024-06-21 15:53:05,749 INFO products added to main list
__main__ 2024-06-21 15:53:05,844 INFO products added to main list
__main__ 2024-06-21 15:53:05,935 INFO products added to main list
__main__ 2024-06-21 15:53:06,028 INFO products added to main list
__main__ 2024-06-21 15:53:26,075 DEBUG add products in main list
__main__ 2024-06-21 15:53:26,574 DEBUG close driver
