Наименование,Url_товара,Url_изображения,Категория,Полная цена,Цена соскидкой
Сыр твердый Пармезан Dolce Granto 40% 200г...,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617781880&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/938263/938263_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Сыры/Твердые и полутвердые сыры","409,00","249,99"
Сливки Домик в деревне стерилизованные 20% 480г...,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=177981&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/354202/354202_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Молоко и сливки","239,00","199,99"
Семечки подсолнечника Бабкины семечки жареные 500г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=331404&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/366212/366212_thumbnail.jpg,"Овощи и фрукты/Орехи, сухофрукты","209,00","164,99"
Бургер из свинины Ближние горки 200г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617814393&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/937167/937167_thumbnail.jpg,Акции/Всегда свежие продукты,"136,49","91,99"
Прокладки гигиенические Libresse Ultra 10шт,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617641042&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/9020/9020_thumbnail.jpg,Косметика и гигиена/Гигиенические и бумажные товары,"174,99","109,99"
Сырок глазированный Свитлогорье золотая ириска...,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617682888&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/891152/891152_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Творожные изделия","65,99","49,99"
Лаваш армянский Нижегородский хлеб Премиум...,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617905643&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/987653/987653_thumbnail.jpg,"Сладости, хлеб/Хлебобулочные изделия/Хлеб, батон, лепешки, лаваш","46,99","36,99"
Кетчуп Heinz Томатный 550г дой-пак,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617752385&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/924243/924243_thumbnail.jpg,"Растительные масла, соусы и приправы/Томатные пасты, кетчупы","239,00","129,99"
Фрикадельки Черкизово Домашние 360г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=746684&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/773554/773554_thumbnail.jpg,Акции/Всегда свежие продукты,"189,99","159,99"
Прокладки гигиенические Kotex Young 10шт,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=176621&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/364512/364512_thumbnail.jpg,Косметика и гигиена/Гигиенические и бумажные товары,"159,99","129,99"
Говядина тушеная Барс ГОСТ 325г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=420199&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/238796/238796_thumbnail.jpg,Бакалея и консервы/Консервы/Мясные консервы,"329,00","269,99"
Готовый завтрак Любятово подушечки шоколадные 500г,https://www.okeydostavka.ru/msk/gotovyi-zavtrak-liubiatovo-podushechki-shokoladnye-500g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/863256/863256_thumbnail.jpg,Бакалея и консервы/Сухие завтраки,"259,00","179,99"
Кофе молотый Lavazza Crema e Gusto 250г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=196763&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/619107/619107_thumbnail.jpg,"Горячие и холодные напитки/Кофе, какао, цикорий/Кофе","469,00","349,99"
Морковь Ферэльгам по-корейски 500г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=612460&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/731819/731819_thumbnail.jpg,"Овощи и фрукты/Овощные смеси, овощи квашенные ","159,99","127,99"
Пельмени Цезарь Цезарёнок 600г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=92631&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/577581/577581_thumbnail.jpg,"Заморозка, готовая кулинария/Пельмени и мучные изделия","499,00","249,50"
Туалетный блок для унитаза Бреф Сила Актив...,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617727794&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/913743/913743_thumbnail.jpg,Brands/Бреф,"689,00","412,99"
Майонез Я люблю готовить Московский Провансаль...,https://www.okeydostavka.ru/msk/maionez-ia-liubliu-gotovit-moskovskii-provansal-67-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/719411/719411_thumbnail.jpg,"Растительные масла, соусы и приправы/Майонез","189,99","139,99"
Кукуруза Green Ray сладкая 425мл,https://www.okeydostavka.ru/msk/kukuruza-sladkaia-green-ray-425ml,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/463055/463055_thumbnail.jpg,Бакалея и консервы/Консервы/Овощи и грибы консервированные,"109,99","79,99"
"Гель для стирки Персил Color 2,6л",https://www.okeydostavka.ru/msk/gel-d-stirki-pr5189-color-2-6l,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/744832/744832_thumbnail.jpg,Бытовая химия/Стирка и уход за одеждой/Стирка одежды,"1 369,00","849,99"
Чай черный Tess Sunrise 100 пакетиков,https://www.okeydostavka.ru/msk/chai-chernyi-tess-sunrise-100pak,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/769046/769046_thumbnail.jpg,Горячие и холодные напитки/Чай,"389,00","229,99"
Шоколад молочный Ritter Sport Extra Nut с...,https://www.okeydostavka.ru/msk/shokolad-molochnyi-ritter-sport-extra-nut-s-tsel-nym-obzharennym-orekhom-leshchiny-100g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/775152/775152_thumbnail.jpg,Banners/Cпециальное предложение,"179,99","124,99"
Рагу Морозко Green овощное 400г,https://www.okeydostavka.ru/msk/ragu-ovoshchnoe-morozko-green-400g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/827959/827959_thumbnail.jpg,"Заморозка, готовая кулинария/Овощи и ягоды замороженные","139,99","79,99"
Кетчуп Heinz Томатный 550г дой-пак,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617752385&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/924243/924243_thumbnail.jpg,"Растительные масла, соусы и приправы/Томатные пасты, кетчупы","239,00","129,99"
Лимонад Черноголовка Кола газированный 2л,https://www.okeydostavka.ru/msk/skidki/limonad-napitki-iz-chernogolovki-kola-gaz-2-0l-pet,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/943073/943073_thumbnail.jpg,Горячие и холодные напитки/Лимонады,"155,99","119,99"
Мороженое Monterra С кленовым сиропом пломбир...,https://www.okeydostavka.ru/msk/bzmzh-morozhenoe-monterra-plombir-s-klenovym-siropom-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/948835/948835_thumbnail.jpg,Banners/Cпециальное предложение,"609,00","359,99"
Крупа гречневая Агрохолдинг Степь 900г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617871681&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/972767/972767_thumbnail.jpg,Бакалея и консервы/Крупы и бобовые,"104,99","86,99"
Майонез Я люблю готовить Московский Провансаль...,https://www.okeydostavka.ru/msk/maionez-ia-liubliu-gotovit-moskovskii-provansal-67-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/719411/719411_thumbnail.jpg,"Растительные масла, соусы и приправы/Майонез","189,99","139,99"
Кукуруза Green Ray сладкая 425мл,https://www.okeydostavka.ru/msk/kukuruza-sladkaia-green-ray-425ml,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/463055/463055_thumbnail.jpg,Бакалея и консервы/Консервы/Овощи и грибы консервированные,"109,99","79,99"
"Гель для стирки Персил Color 2,6л",https://www.okeydostavka.ru/msk/gel-d-stirki-pr5189-color-2-6l,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/744832/744832_thumbnail.jpg,Бытовая химия/Стирка и уход за одеждой/Стирка одежды,"1 369,00","849,99"
Чай черный Tess Sunrise 100 пакетиков,https://www.okeydostavka.ru/msk/chai-chernyi-tess-sunrise-100pak,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/769046/769046_thumbnail.jpg,Горячие и холодные напитки/Чай,"389,00","229,99"
Шоколад молочный Ritter Sport Extra Nut с...,https://www.okeydostavka.ru/msk/shokolad-molochnyi-ritter-sport-extra-nut-s-tsel-nym-obzharennym-orekhom-leshchiny-100g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/775152/775152_thumbnail.jpg,Banners/Cпециальное предложение,"179,99","124,99"
Рагу Морозко Green овощное 400г,https://www.okeydostavka.ru/msk/ragu-ovoshchnoe-morozko-green-400g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/827959/827959_thumbnail.jpg,"Заморозка, готовая кулинария/Овощи и ягоды замороженные","139,99","79,99"
Кетчуп Heinz Томатный 550г дой-пак,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617752385&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/924243/924243_thumbnail.jpg,"Растительные масла, соусы и приправы/Томатные пасты, кетчупы","239,00","129,99"
Лимонад Черноголовка Кола газированный 2л,https://www.okeydostavka.ru/msk/skidki/limonad-napitki-iz-chernogolovki-kola-gaz-2-0l-pet,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/943073/943073_thumbnail.jpg,Горячие и холодные напитки/Лимонады,"155,99","119,99"
Мороженое Monterra С кленовым сиропом пломбир...,https://www.okeydostavka.ru/msk/bzmzh-morozhenoe-monterra-plombir-s-klenovym-siropom-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/948835/948835_thumbnail.jpg,Banners/Cпециальное предложение,"609,00","359,99"
Крупа гречневая Агрохолдинг Степь 900г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617871681&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/972767/972767_thumbnail.jpg,Бакалея и консервы/Крупы и бобовые,"104,99","86,99"
