Наименование,Url_товара,Url_изображения,Категория,Полная цена,Цена соскидкой
Хлеб Ржаной край классика 300г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=242104&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/712690/712690_thumbnail.jpg,"Сладости, хлеб/Хлебобулочные изделия/Хлеб, батон, лепешки, лаваш","94,99","74,99"
Крупа гречневая Агрохолдинг Степь 900г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617871681&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/972767/972767_thumbnail.jpg,Бакалея и консервы/Крупы и бобовые,"104,99","86,99"
Карбонад варено-копченый по-Егорьевски...,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=647471&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/736289/736289_thumbnail.jpg,"Мясо, птица, колбасы/Мясные деликатесы","138,99","124,99"
Вишня Зеленая грядка без косточки 300г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=923955&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/849635/849635_thumbnail.jpg,"Заморозка, готовая кулинария/Овощи и ягоды замороженные","229,00","139,99"
Мука Макфа пшеничная высший сорт 1кг,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=158389&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/674886/674886_thumbnail.jpg,"Бакалея и консервы/Мука, смеси для выпечки","62,99","51,99"
Бекон сырокопченый Дымов нарезка 150г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617852591&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/964661/964661_thumbnail.jpg,"Мясо, птица, колбасы/Мясные деликатесы","219,00","149,99"
Смесь овощная О`КЕЙ Мексиканская 400г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=242359&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/688292/688292_thumbnail.jpg,"Заморозка, готовая кулинария/Овощи и ягоды замороженные","114,99","91,99"
Дамплинги Bibigo с креветкой 385г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617627933&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/865939/865939_thumbnail.jpg,"Заморозка, готовая кулинария/Пельмени и мучные изделия","429,00","214,50"
Сыр плавленый President Чизбургер 40% 150г тосты...,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=862754&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/819292/819292_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Сыры/Плавленые сыры","140,99","99,99"
Рис Мистраль Кубань 900г,https://www.okeydostavka.ru/msk/ris-mistral-kuban-900g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/386918/386918_thumbnail.jpg,Бакалея и консервы/Крупы и бобовые,"169,99","129,99"
